state_ut,year,death_remanded,death_not_remanded,ssc,dgp_tenure,o_tenure,invest_law,peb,district_pca,state_pca,t,type,sc_order1,committee1,gdp,religion2,head_trans_n,p_dist,head_trans,pop,SHRC,party_match,party_match_2006,literacy,media_women,media_men,pca_bind,media_women_0,pca_ind,ngo,event,l.event
ANDHRA PRADESH,2001,5,8,0,0,0,0,0,0,0,0,0,0,0,156711,1,9,22,0.409090909,76210007,0,0,0,60.5,76.3,NA,0,76,0,0.01399177,12,9
ANDHRA PRADESH,2002,1,6,0,0,0,0,0,0,0,0,0,0,0,167096,1,1,22,0.045454545,76210007,0,0,0,60.5,76.3,NA,0,76,0,0.01399177,6,12
ANDHRA PRADESH,2003,0,6,0,0,0,0,0,0,0,0,0,0,0,190017,1,9,22,0.409090909,76210007,0,0,0,60.5,76.3,NA,0,76,0,0.01399177,22,6
ANDHRA PRADESH,2004,11,3,0,0,0,0,0,0,0,0,0,0,0,134767,1,7,22,0.318181818,76210007,0,1,1,60.5,76.3,NA,0,76,0,0.01399177,1,22
ANDHRA PRADESH,2005,42,11,0,0,0,0,0,0,0,0,0,0,0,147606,1,7,22,0.318181818,76210007,0,1,1,60.5,81.9,91.6,0,82,0,0.01399177,5,1
ANDHRA PRADESH,2006,17,11,0,0,0,0,0,0,0,0,0,1,0,174064,1,NA,22,NA,76210007,1,1,1,60.5,81.9,NA,0,82,0,0.01399177,2,5
ANDHRA PRADESH,2007,18,5,0,0,1,1,1,0,0,0,0,1,0,212361,1,9,22,0.409090909,76210007,1,1,1,60.5,81.9,NA,0,82,0,0.01399177,3,2
ANDHRA PRADESH,2008,10,7,0,0,1,1,1,0,0,0,0,1,1,237383,1,13,22,0.590909091,76210007,1,1,1,60.5,81.9,NA,0,82,0,0.01399177,10,3
ANDHRA PRADESH,2009,4,2,0,0,1,1,1,0,0,0,0,1,1,273327,1,8,22,0.363636364,76210007,1,1,1,60.5,81.9,NA,0,82,0,0.01399177,9,10
ANDHRA PRADESH,2010,5,4,0,0,1,1,1,0,0,0,0,1,1,319864,1,10,22,0.454545455,76210007,1,1,1,60.5,81.9,NA,0,82,0,0.01399177,27,9
ANDHRA PRADESH,2011,11,6,0,0,1,1,1,0,0,0,0,1,1,362245,1,10,22,0.454545455,76210007,1,1,1,67,81.9,NA,0,82,0,0.01399177,21,27
ANDHRA PRADESH,2012,5,6,0,0,1,1,1,0,0,0,0,1,1,410068,1,8,22,0.363636364,76210007,1,1,1,67,81.9,NA,0,82,0,0.010464058,5,21
ANDHRA PRADESH,2013,3,3,1,0,1,1,1,1,1,1,go,1,1,464184,1,9,22,0.409090909,76210007,1,1,1,67,81.9,NA,1,82,1,0.010464058,9,5
ANDHRA PRADESH,2014,16,2,1,1,1,1,1,1,1,0,go,1,1,524976,1,8,12,0.666666667,76210007,1,0,0,67,81.9,NA,1,82,1,0.010464058,25,9
ANDHRA PRADESH,2015,3,5,1,1,1,1,1,1,1,0,go,1,1,604229,1,2,12,0.166666667,76210007,1,0,0,67,93,96,1,93,1,0.010464058,20,25
ANDHRA PRADESH,2016,6,0,1,1,1,1,1,1,1,0,go,1,1,697508,1,6,12,0.5,NA,1,0,0,67,93,96,1,93,1,0.010464058,14,20
ARUNACHAL PRADESH ,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,1,13,10,1.3,1097968,0,0,1,54.3,63.3,NA,0,63,0,0.121212121,NA,0
ARUNACHAL PRADESH ,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,2071,1,15,13,1.153846154,1097968,0,0,1,54.3,63.3,NA,0,63,0,0.121212121,NA,0
ARUNACHAL PRADESH ,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,2368,1,15,12,1.25,1097968,0,0,1,54.3,63.3,NA,0,63,0,0.121212121,NA,0
ARUNACHAL PRADESH ,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,3488,1,1,11,0.090909091,1097968,0,1,1,54.3,63.3,NA,0,63,0,0.121212121,NA,0
ARUNACHAL PRADESH ,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,3755,1,8,11,0.727272727,1097968,0,1,1,54.3,64.6,72.5,0,65,0,0.121212121,NA,0
ARUNACHAL PRADESH ,2006,0,0,0,1,1,0,1,0,0,0,0,1,0,4108,1,4,11,0.363636364,1097968,0,1,1,54.3,64.6,NA,0,65,0,0.121212121,NA,0
ARUNACHAL PRADESH ,2007,0,0,1,1,1,1,1,0,1,1,go,1,0,4810,1,3,11,0.272727273,1097968,0,1,1,54.3,64.6,NA,1,65,1,0.121212121,NA,0
ARUNACHAL PRADESH ,2008,3,0,1,1,1,1,1,0,1,0,go,1,1,5687,1,7,11,0.636363636,1097968,0,1,1,54.3,64.6,NA,1,65,1,0.121212121,1,0
ARUNACHAL PRADESH ,2009,0,0,1,1,1,1,1,0,1,0,go,1,1,7474,1,1,11,0.090909091,1097968,0,1,1,54.3,64.6,NA,1,65,1,0.121212121,1,1
ARUNACHAL PRADESH ,2010,1,0,1,1,1,1,1,0,1,0,go,1,1,9021,1,0,11,0,1097968,0,1,1,54.3,64.6,NA,1,65,1,0.121212121,1,1
ARUNACHAL PRADESH ,2011,1,0,1,1,1,1,1,0,1,0,go,1,1,10775,0,5,11,0.454545455,1097968,0,1,1,65.4,64.6,NA,1,65,1,0.121212121,1,1
ARUNACHAL PRADESH ,2012,2,0,1,1,1,1,1,0,1,0,go,1,1,11836,0,11,11,1,1097968,0,1,1,65.4,64.6,NA,1,65,1,0,1,1
ARUNACHAL PRADESH ,2013,2,0,1,1,1,1,1,0,1,0,go,1,1,13545,0,18,11,1.636363636,1097968,0,1,1,65.4,64.6,NA,1,65,1,0,NA,0
