"","state_ut","year","death_remanded","death_not_remanded","state_pca","district_pca","type","sc_order1","committee1","gdp","religion2","head_trans"
"1","ANDHRA PRADESH",2001,5,8,0,0,"0",0,0,156711,1,0.409090909
"2","ARUNACHAL PRADESH ",2001,0,0,0,0,"0",0,0,2104,1,1.3
"3","ASSAM",2001,1,2,0,0,"0",0,0,38313,1,0.740740741
"4","BIHAR ",2001,0,0,0,0,"0",0,0,57657,1,0.225
"5","CHHATTISGARH ",2001,7,1,0,0,"0",0,0,29539,1,0.777777778
"6","GOA",2001,0,1,0,0,"0",0,0,7097,1,0
"7","GUJARAT ",2001,4,3,0,0,"0",0,0,123573,1,9.5
"8","HARYANA ",2001,1,0,0,0,"0",0,0,65505,1,0.263157895
"9","HIMACHAL PRADESH ",2001,1,0,0,0,"0",0,0,17148,1,0.5
"10","JAMMU & KASHMIR ",2001,0,0,0,0,"0",0,0,18039,0,1.7
"11","JHARKHAND",2001,0,0,0,0,"0",0,0,35069,1,0.090909091
"12","KARNATAKA ",2001,0,1,0,0,"0",0,0,112847,1,0.185185185
"13","KERALA ",2001,0,0,0,0,"0",0,0,77924,1,1.529411765
"14","MADHYA PRADESH",2001,3,2,0,0,"0",0,0,86745,1,0.488888889
"15","MAHARASHTRA",2001,5,9,0,0,"0",0,0,273188,1,0.363636364
"16","MANIPUR ",2001,0,0,0,0,"0",0,0,3369,1,0.888888889
"17","MEGHALAYA ",2001,0,0,0,0,"0",0,0,4478,1,0.571428571
"18","MIZORAM ",2001,2,4,0,0,"0",0,0,1947,1,0.75
"19","NAGALAND ",2001,0,0,0,0,"0",0,0,3972,1,0
"20","ORISSA ",2001,0,1,0,0,"0",0,0,46756,1,0.5
"21","PUNJAB ",2001,1,3,0,0,"0",0,0,79611,0,0.52173913
"22","RAJASTHAN ",2001,1,2,0,0,"0",0,0,91771,1,1.388888889
"23","SIKKIM ",2001,0,0,0,0,"0",0,0,1136,1,0.5
"24","TAMIL NADU ",2001,0,5,0,0,"0",0,0,148861,1,0.866666667
